Date,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Quarter,Rolling_Mean_5,Rolling_Mean_10,Close_Lag_1,Close_Lag_5,Volume_Close_Interaction
2014-02-20,-1.2214483193631336,-1.2193936661281102,-1.218874133687429,-1.214741939422978,-1.214741939422978,0.1178178006671974,3,2,1,-1.2188092507375046,-1.233480644354238,-1.222791682592443,-1.232761572072491,-0.0007756047490864935
2014-02-21,-1.2103767270099777,-1.216017835780918,-1.2093031382083184,-1.215867735041965,-1.215867735041965,0.1311461741511831,4,2,1,-1.2175723895537691,-1.2278704966787486,-1.214741939422978,-1.2220520409606426,0.00012154333650195336
2014-02-24,-1.2127836238709566,-1.2089263653982476,-1.2064274450415389,-1.207828747939627,-1.207828747939627,0.1332580804466796,0,2,1,-1.2149099457050478,-1.2233258576968196,-1.215867735041965,-1.2211409671832334,-0.0008810662205426634
2014-02-25,-1.2059409990211367,-1.2099032361179776,-1.205414929655516,-1.2092919633234258,-1.2092919633234258,0.1310453890351291,1,2,1,-1.214104413664088,-1.2195342720482016,-1.207828747939627,-1.2133196235282266,0.00015875398688696316
2014-02-26,-1.2054051739603344,-1.207390962879519,-1.2046630129353333,-1.2080762688375088,-1.2080762688375088,0.1283993216245461,2,2,1,-1.2111613309131009,-1.2167872540902542,-1.2092919633234258,-1.222791682592443,-0.00012907912400695682
2014-02-27,-1.2078473938853178,-1.2058689997245808,-1.2029508345786342,-1.2007688232061822,-1.2007688232061822,0.1229834959791319,3,2,1,-1.2083667076697417,-1.213587979203623,-1.2080762688375088,-1.214741939422978,-0.0007439060211676629
2014-02-28,-1.1991310412472465,-1.2004370500681767,-1.2054670494984434,-1.2037086659472438,-1.2037086659472438,0.1750774900108206,4,2,1,-1.2059348938507974,-1.2117536417022836,-1.2007688232061822,-1.215867735041965,0.00042864228166526443
2014-03-03,-1.2160199537703271,-1.2162067802184795,-1.2153344170053813,-1.2120903843551143,-1.2120903843551143,0.1255800870600157,0,3,1,-1.206787221133895,-1.2108485834194713,-1.2037086659472438,-1.207828747939627,0.000874444919397997
2014-03-04,-1.1979534213897045,-1.1964918835952898,-1.1912174753319982,-1.1917834403494785,-1.1917834403494785,0.1622612881620551,1,3,1,-1.2032855165391054,-1.2086949651015966,-1.2120903843551143,-1.2092919633234258,-0.002718469625301324
2014-03-05,-1.1911789199415588,-1.195064392659132,-1.18665975007582,-1.19015171415387,-1.19015171415387,0.1382680169428942,2,3,1,-1.1997006056023776,-1.2054309682577393,-1.1917834403494785,-1.2080762688375088,-0.0001893091795220804
2014-03-06,-1.186813838352689,-1.1925791301024922,-1.1875240791735306,-1.1917400179397786,-1.1917400179397786,0.1309638447139581,3,3,1,-1.1978948445490971,-1.2031307761094194,-1.19015171415387,-1.2007688232061822,0.00017477634817692912
2014-03-07,-1.1862237007018437,-1.19266543303167,-1.1935197182407868,-1.1960667216129504,-1.1960667216129504,0.1345646220420713,4,3,1,-1.1963664556822384,-1.201150674766518,-1.1917400179397786,-1.2037086659472438,0.0004885471962877563
2014-03-10,-1.1966561539743703,-1.201154748361741,-1.196623183753744,-1.196548086279742,-1.196548086279742,0.1287053418860193,0,3,1,-1.1932579960671639,-1.2000226086005292,-1.1960667216129504,-1.2120903843551143,5.179828423594882e-05
2014-03-11,-1.193852202126198,-1.1972419948689432,-1.2000173941998418,-1.2039616313715318,-1.2039616313715318,0.1622548745637608,1,3,1,-1.1956936342715745,-1.19948957540534,-1.196548086279742,-1.1917834403494785,0.001005295017169835
2014-03-12,-1.2086279587556663,-1.2056342029431395,-1.2069459620464584,-1.1995722506475972,-1.1995722506475972,0.1305625367063974,2,3,1,-1.19757774157032,-1.1986391735863489,-1.2039616313715318,-1.19015171415387,-0.0004760024463854452
2014-03-13,-1.1951223796054171,-1.2011629176513436,-1.2144288208087786,-1.2166809422334317,-1.2166809422334317,0.1536258361728776,3,3,1,-1.2025659264290505,-1.200230385489074,-1.1995722506475972,-1.1917400179397786,0.0021910618966709044
2014-03-14,-1.2190033107322609,-1.2193936661281102,-1.21470603321992,-1.2207657022488585,-1.2207657022488585,0.1365189370651924,4,3,1,-1.2075057225562322,-1.2019360891192352,-1.2166809422334317,-1.1960667216129504,0.00045833470067246977
2014-03-17,-1.2125387510716323,-1.211584365767482,-1.2061805128042764,-1.2113695992231843,-1.2113695992231843,0.1011085446537618,0,3,1,-1.2104700251449205,-1.2018640106060423,-1.2207657022488585,-1.196548086279742,-0.0007782216526829096
2014-03-18,-1.20927519824637,-1.202576837269473,-1.2031346603223547,-1.1968581512427017,-1.1968581512427017,0.1150791941955102,1,3,1,-1.2090493291191546,-1.2023714816953646,-1.2113695992231843,-1.2039616313715318,-0.0013785765643077948
